Waybill Date,Origin,Origin-St,Destination,Destination-St,Commodity,Railcars-Containers,Rail-Miles,Net-Weight-Tons,Metric-Tonnes,Rail-km,Rail-GHG-Emissions-Tonnes,Truck-GHG-Emissions-Tonnes
2024-08-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Plums,1,2757.8,20,18.14,4438.13,1.03,6.22
2024-09-25,WINNIPEG SYMING YAR,MB,FAIRVIEW COVE IMPEX,NS,Turkeys (non-supply managed),1,2270.5,14,12.7,3653.92,0.59,3.58
2024-09-16,ROBERTS BANK,BC,CHICAGO INTER TERM,IL,Custom feeding expenses (non-itemized),1,2457.7,1,0.91,3955.18,0.05,0.28
2024-09-16,ROBERTS BANK,BC,CHICAGO INTER TERM,IL,Corn,1,2457.7,1,0.91,3955.18,0.05,0.28
2024-08-06,ROBERTS BANK,BC,CHICAGO INTER TERM,IL,"Cattle, feeder",1,2457.7,15,13.61,3955.18,0.69,4.16
2024-08-16,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Seeds and bulbs,1,3073.8,16,14.52,4946.67,0.92,5.54
2024-09-06,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Rye,1,3073.8,4,3.63,4946.67,0.23,1.39
2024-09-06,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Deferred elk,1,3073.8,4,3.63,4946.67,0.23,1.39
2024-09-06,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Field peas,1,3073.8,4,3.63,4946.67,0.23,1.39
2024-09-06,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Milk and cream (cattle),1,3073.8,4,3.63,4946.67,0.23,1.39
2024-09-06,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Parsley,1,3073.8,4,3.63,4946.67,0.23,1.39
2024-09-06,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Chervil,1,3073.8,4,3.63,4946.67,0.23,1.39
2024-08-27,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Prepared feed and protein supplements (itemized),1,2757.8,27,24.49,4438.13,1.39,8.39
2024-08-27,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Squash,1,2757.8,27,24.49,4438.13,1.39,8.39
2024-08-27,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Elderberries,1,2757.8,27,24.49,4438.13,1.39,8.39
2024-08-06,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Ranch fur operators feed purchases (non-itemized),1,3073.8,22,19.96,4946.67,1.26,7.62
2024-08-06,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Triticale,1,3073.8,22,19.96,4946.67,1.26,7.62
2024-08-06,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Coriander,1,3073.8,22,19.96,4946.67,1.26,7.62
2024-08-16,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Potatoes and by-products,1,3073.8,21,19.05,4946.67,1.2,7.28
2024-08-06,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Fox,1,3073.8,22,19.96,4946.67,1.26,7.62
2024-09-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Kenaf,1,2757.8,28,25.4,4438.13,1.44,8.7
2024-09-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Vegetable seed (seed production only),1,2757.8,18,16.33,4438.13,0.92,5.6
2024-09-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Fruit juice,1,2757.8,28,25.4,4438.13,1.44,8.7
2024-09-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Plums,1,2757.8,28,25.4,4438.13,1.44,8.7
2024-09-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Raspberries,1,2757.8,28,25.4,4438.13,1.44,8.7
2024-09-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Prepared feed and purchases (non-itemized),1,2757.8,28,25.4,4438.13,1.44,8.7
2024-09-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Okra,1,2757.8,27,24.49,4438.13,1.39,8.39
2024-09-06,ROBERTS BANK,BC,MALPORT,ON,Bee by-products,1,2765.7,28,25.4,4450.84,1.44,8.73
2024-08-16,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Wild boar,1,3073.8,18,16.33,4946.67,1.03,6.24
2024-09-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Saskatoon berries,1,2757.8,28,25.4,4438.13,1.44,8.7
2024-09-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Bok choi,1,2757.8,3,2.72,4438.13,0.15,0.93
2024-09-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,"Bees, honey",1,2757.8,31,28.12,4438.13,1.59,9.64
2024-09-06,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,"Bees, honey",1,3073.8,28,25.4,4946.67,1.6,9.7
2024-09-06,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Broccoflower,1,3073.8,23,20.87,4946.67,1.32,7.97
2024-09-06,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Broccoflower,1,3073.8,22,19.96,4946.67,1.26,7.62
2024-09-06,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Flowers (edible),1,3073.8,23,20.87,4946.67,1.32,7.97
2024-09-06,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Deferred bovine cattle,1,3073.8,23,20.87,4946.67,1.32,7.97
2024-09-06,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Flowers and ornamental foliage,1,3073.8,23,20.87,4946.67,1.32,7.97
2024-08-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Elk,1,2757.8,21,19.05,4438.13,1.08,6.53
2024-08-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Donkeys/Mules,1,2757.8,24,21.77,4438.13,1.23,7.46
2024-08-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Melons,1,2757.8,24,21.77,4438.13,1.23,7.46
2024-08-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Marjoram,1,2757.8,23,20.87,4438.13,1.18,7.15
2024-08-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Sweet peas,1,2757.8,24,21.77,4438.13,1.23,7.46
2024-08-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Anise,1,2757.8,23,20.87,4438.13,1.18,7.15
2024-08-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Fruits and vegetables (non-edible),1,2757.8,23,20.87,4438.13,1.18,7.15
2024-08-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Barley,1,2757.8,23,20.87,4438.13,1.18,7.15
2024-08-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Rutabagas,1,2757.8,24,21.77,4438.13,1.23,7.46
2024-08-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Prepared feed and protein supplements (itemized),1,2757.8,24,21.77,4438.13,1.23,7.46
2024-08-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Flowers and ornamental foliage,1,2757.8,24,21.77,4438.13,1.23,7.46
2024-08-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Other feed charges (itemized),1,2757.8,24,21.77,4438.13,1.23,7.46
2024-08-27,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Other custom feeding expenses (itemized),1,3073.8,24,21.77,4946.67,1.37,8.32
2024-10-03,MONTREAL TASCH YARD,PQ,FAIRVIEW COVE IMPEX,NS,Silkies,1,764.1,22,19.96,1229.67,0.31,1.89
2024-08-06,FAIRVIEW COVE IMPEX,NS,MONTREAL TASCH YARD,PQ,Pot bellied pigs,1,764.1,4,3.63,1229.67,0.06,0.34
2024-08-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Mink,1,2757.8,23,20.87,4438.13,1.18,7.15
2024-09-06,BRAMPTON INTER TERM,ON,FAIRVIEW COVE IMPEX,NS,Grapes,1,1101.2,25,22.68,1772.16,0.51,3.1
2024-08-27,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Camelina,1,3073.8,20,18.14,4946.67,1.15,6.93
2024-08-06,ROBERTS BANK,BC,ARCADIA,WI,Rabbits,1,2255.4,8,7.26,3629.62,0.34,2.03
2024-08-16,ROBERTS BANK,BC,MEMPHIS INTER TERM,TN,Rabbits,1,2931.1,11,9.98,4717.02,0.6,3.63
2024-08-01,FAIRVIEW COVE IMPEX,NS,BRAMPTON INTER TERM,ON,Gingko biloba,1,1101.2,23,20.87,1772.16,0.47,2.86
2024-08-06,ROBERTS BANK,BC,CHICAGO INTER TERM,IL,Deferred horse for PMU sales,1,2457.7,10,9.07,3955.18,0.46,2.77
2024-09-16,ROBERTS BANK,BC,CALGARY LOG PARK,AB,Custom feedlot operator income (itemized invoices) – Qualifying feed and protein supplements,1,978.5,29,26.31,1574.7,0.53,3.2
2024-08-20,FAIRVIEW COVE IMPEX,NS,BRAMPTON INTER TERM,ON,Sweet corn,1,1101.2,3,2.72,1772.16,0.06,0.37
2024-09-24,CALGARY LOG PARK,AB,ROBERTS BANK,BC,Turkeys,1,988.7,28,25.4,1591.11,0.52,3.12
2024-10-02,BRAMPTON INTER TERM,ON,FAIRVIEW COVE IMPEX,NS,Gooseberries,1,1101.2,24,21.77,1772.16,0.49,2.98
2024-08-27,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Other feed charges (itemized),1,2757.8,12,10.89,4438.13,0.62,3.73
2024-08-09,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Wool,1,2757.8,6,5.44,4438.13,0.31,1.87
2024-08-06,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Hemp,1,3073.8,15,13.61,4946.67,0.86,5.2
2024-09-12,MONTREAL TASCH YARD,PQ,FAIRVIEW COVE IMPEX,NS,Tomatoes,1,764.1,21,19.05,1229.67,0.3,1.81
2024-08-27,ROBERTS BANK,BC,EDMONTON INTER TERM,AB,Rye,1,766.3,13,11.79,1233.21,0.19,1.12
2024-09-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Fiddleheads,1,2757.8,4,3.63,4438.13,0.21,1.24
2024-08-28,FAIRVIEW COVE IMPEX,NS,BRAMPTON INTER TERM,ON,Spinach,1,1101.2,28,25.4,1772.16,0.57,3.48
2024-08-21,MONTREAL TASCH YARD,PQ,FAIRVIEW COVE IMPEX,NS,Cumin,1,764.1,25,22.68,1229.67,0.36,2.15
2024-08-27,ROBERTS BANK,BC,MALPORT,ON,Okra,1,2765.7,7,6.35,4450.84,0.36,2.18
2024-09-24,CALGARY LOG PARK,AB,ROBERTS BANK,BC,Turkeys,1,988.7,28,25.4,1591.11,0.52,3.12
2024-08-27,ROBERTS BANK,BC,MALPORT,ON,Deer,1,2765.7,4,3.63,4450.84,0.21,1.25
2024-09-27,ROBERTS BANK,BC,CHICAGO INTER TERM,IL,Broccoli,1,2457.7,10,9.07,3955.18,0.46,2.77
2024-09-27,ROBERTS BANK,BC,MEMPHIS INTER TERM,TN,Beets,1,2931.1,9,8.16,4717.02,0.49,2.97
2024-08-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Collards,1,2757.8,6,5.44,4438.13,0.31,1.87
2024-08-27,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Cannabis,1,3073.8,8,7.26,4946.67,0.46,2.77
2024-09-06,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Peppers,1,3073.8,19,17.24,4946.67,1.09,6.58
2024-08-27,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Rye,1,2757.8,22,19.96,4438.13,1.13,6.84
2024-08-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Fish meal,1,2757.8,5,4.54,4438.13,0.26,1.55
2024-09-06,BRAMPTON INTER TERM,ON,FAIRVIEW COVE IMPEX,NS,Bok choi,1,1101.2,29,26.31,1772.16,0.59,3.6
2024-08-02,MONTREAL TASCH YARD,PQ,FAIRVIEW COVE IMPEX,NS,Turnips,1,764.1,22,19.96,1229.67,0.31,1.89
2024-08-28,MONTREAL TASCH YARD,PQ,FAIRVIEW COVE IMPEX,NS,Tobacco,1,764.1,22,19.96,1229.67,0.31,1.89
2024-08-06,ROBERTS BANK,BC,MALPORT,ON,Ranch fur operators other feed expenses (itemized),1,2765.7,17,15.42,4450.84,0.88,5.3
2024-08-30,MALPORT,ON,ROBERTS BANK,BC,Sweet peas,1,2758.5,15,13.61,4439.25,0.77,4.66
2024-08-27,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Okra,1,2757.8,12,10.89,4438.13,0.62,3.73
2024-08-16,ROBERTS BANK,BC,MALPORT,ON,Peppers,1,2765.7,6,5.44,4450.84,0.31,1.87
2024-09-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Deferred deer,1,2757.8,8,7.26,4438.13,0.41,2.49
2024-08-27,ROBERTS BANK,BC,MEMPHIS INTER TERM,TN,Other custom feeding expenses (itemized),1,2931.1,4,3.63,4717.02,0.22,1.32
2024-09-03,MONTREAL TASCH YARD,PQ,FAIRVIEW COVE IMPEX,NS,Rheas,1,764.1,19,17.24,1229.67,0.27,1.64
2024-09-06,ROBERTS BANK,BC,MALPORT,ON,Pheasants,1,2765.7,6,5.44,4450.84,0.31,1.87
2024-10-07,MONTREAL TASCH YARD,PQ,FAIRVIEW COVE IMPEX,NS,Semen and embryos,1,764.1,25,22.68,1229.67,0.36,2.15
2024-08-09,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Chinchilla,1,3073.8,5,4.54,4946.67,0.29,1.73
2024-08-27,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Potatoes and by-products,1,2757.8,7,6.35,4438.13,0.36,2.18
2024-08-06,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Thyme,1,3073.8,11,9.98,4946.67,0.63,3.81
2024-08-09,ROBERTS BANK,BC,DETROIT INTER TERM,MI,Bok choi,1,2737.3,21,19.05,4405.14,1.07,6.48
2024-08-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Niger seed/Niger thistle,1,2757.8,4,3.63,4438.13,0.21,1.24
2024-08-27,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Canary seed,1,2757.8,6,5.44,4438.13,0.31,1.87
2024-09-06,ROBERTS BANK,BC,DETROIT INTER TERM,MI,Pigeons,1,2737.3,20,18.14,4405.14,1.02,6.17
2024-10-01,FAIRVIEW COVE IMPEX,NS,BRAMPTON INTER TERM,ON,Chickens (non-supply managed),1,1101.2,8,7.26,1772.16,0.16,0.99
2024-09-10,FAIRVIEW COVE IMPEX,NS,BRAMPTON INTER TERM,ON,Shallots,1,1101.2,3,2.72,1772.16,0.06,0.37
2024-08-27,ROBERTS BANK,BC,CHICAGO INTER TERM,IL,Okra,1,2457.7,9,8.16,3955.18,0.41,2.49
2024-09-06,ROBERTS BANK,BC,CHICAGO INTER TERM,IL,Sweet potatoes/Yams,1,2457.7,4,3.63,3955.18,0.18,1.11
2024-09-16,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Sweet peas,1,2757.8,12,10.89,4438.13,0.62,3.73
2024-09-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Wine,1,2757.8,12,10.89,4438.13,0.62,3.73
2024-09-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Lettuce,1,2757.8,13,11.79,4438.13,0.67,4.04
2024-08-28,FAIRVIEW COVE IMPEX,NS,MONTREAL TASCH YARD,PQ,Pheasants,1,764.1,12,10.89,1229.67,0.17,1.03
2024-08-27,ROBERTS BANK,BC,REGINA INTER TERM,SK,Deferred bovine cattle,1,1382.5,9,8.16,2224.86,0.23,1.4
2024-08-27,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Flaxseed,1,3073.8,8,7.26,4946.67,0.46,2.77
2024-09-06,MONTREAL TASCH YARD,PQ,FAIRVIEW COVE IMPEX,NS,Horseradish,1,764.1,23,20.87,1229.67,0.33,1.98
2024-08-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Honey,1,2757.8,11,9.98,4438.13,0.57,3.42
2024-09-05,BRAMPTON INTER TERM,ON,FAIRVIEW COVE IMPEX,NS,Manure,1,1101.2,5,4.54,1772.16,0.1,0.62
2024-09-26,BRAMPTON INTER TERM,ON,FAIRVIEW COVE IMPEX,NS,Trees (fruit and ornamental),1,1101.2,19,17.24,1772.16,0.39,2.36
2024-08-16,ROBERTS BANK,BC,MALPORT,ON,Barley,1,2765.7,8,7.26,4450.84,0.41,2.49
2024-09-06,ROBERTS BANK,BC,MALPORT,ON,Eggplant,1,2765.7,29,26.31,4450.84,1.49,9.04
2024-08-27,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Peppers,1,2757.8,6,5.44,4438.13,0.31,1.87
2024-09-27,ROBERTS BANK,BC,CALGARY LOG PARK,AB,Chinchilla,1,978.5,21,19.05,1574.7,0.38,2.32
2024-09-16,ROBERTS BANK,BC,CHICAGO INTER TERM,IL,Mustard leaves,1,2457.7,7,6.35,3955.18,0.32,1.94
2024-08-01,FAIRVIEW COVE IMPEX,NS,BRAMPTON INTER TERM,ON,Canola,1,1101.2,22,19.96,1772.16,0.45,2.73
2024-08-09,FAIRVIEW COVE IMPEX,NS,BRAMPTON INTER TERM,ON,Fennel,1,1101.2,22,19.96,1772.16,0.45,2.73
2024-08-09,FAIRVIEW COVE IMPEX,NS,BRAMPTON INTER TERM,ON,Celery,1,1101.2,22,19.96,1772.16,0.45,2.73
2024-08-06,ROBERTS BANK,BC,CHICAGO INTER TERM,IL,Tomatoes,1,2457.7,9,8.16,3955.18,0.41,2.49
2024-10-01,FAIRVIEW COVE IMPEX,NS,BRAMPTON INTER TERM,ON,Taiwanese chickens,1,1101.2,23,20.87,1772.16,0.47,2.86
2024-10-01,FAIRVIEW COVE IMPEX,NS,WINNIPEG SYMING YAR,MB,Strawberries,1,2261.8,17,15.42,3639.91,0.72,4.33
2024-08-09,WINNIPEG SYMING YAR,MB,FAIRVIEW COVE IMPEX,NS,Turkeys (non-supply managed),1,2270.5,8,7.26,3653.92,0.34,2.05
2024-09-16,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Sweet corn,1,2757.8,24,21.77,4438.13,1.23,7.46
2024-08-20,FAIRVIEW COVE IMPEX,NS,BRAMPTON INTER TERM,ON,Semen and embryos,1,1101.2,4,3.63,1772.16,0.08,0.5
2024-09-06,ROBERTS BANK,BC,MALPORT,ON,Sod,1,2765.7,3,2.72,4450.84,0.15,0.94
2024-08-16,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Gingko biloba,1,2757.8,20,18.14,4438.13,1.03,6.22
2024-08-14,FAIRVIEW COVE IMPEX,NS,BRAMPTON INTER TERM,ON,Kenaf,1,1101.2,27,24.49,1772.16,0.55,3.35
2024-08-08,BRAMPTON INTER TERM,ON,FAIRVIEW COVE IMPEX,NS,Trees (cultivated Christmas),1,1101.2,5,4.54,1772.16,0.1,0.62
2024-08-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Wool,1,2757.8,24,21.77,4438.13,1.23,7.46
2024-09-06,BRAMPTON INTER TERM,ON,FAIRVIEW COVE IMPEX,NS,Watercress,1,1101.2,24,21.77,1772.16,0.49,2.98
2024-08-16,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Milk and cream (non-supply managed),1,2757.8,23,20.87,4438.13,1.18,7.15
2024-09-15,BRAMPTON INTER TERM,ON,FAIRVIEW COVE IMPEX,NS,Prepared feed and protein supplements (itemized),1,1101.2,3,2.72,1772.16,0.06,0.37
2024-09-25,FAIRVIEW COVE IMPEX,NS,BRAMPTON INTER TERM,ON,Horses,1,1101.2,23,20.87,1772.16,0.47,2.86
2024-09-18,FAIRVIEW COVE IMPEX,NS,BRAMPTON INTER TERM,ON,Fox,1,1101.2,23,20.87,1772.16,0.47,2.86
2024-08-28,FAIRVIEW COVE IMPEX,NS,MALPORT,ON,Blueberries,1,1100.3,27,24.49,1770.71,0.55,3.35
2024-09-16,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Fireweed,1,3073.8,9,8.16,4946.67,0.52,3.12
2024-08-09,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Buckwheat,1,3073.7,17,15.42,4946.51,0.97,5.89
2024-08-06,ROBERTS BANK,BC,SASKATOON INTER TER,SK,Milk and cream (non-supply managed),1,1089.9,24,21.77,1753.98,0.49,2.95
2024-09-23,SASKATOON INTER TER,SK,FAIRVIEW COVE IMPEX,NS,Llamas,1,2744.5,27,24.49,4416.72,1.38,8.35
2024-08-14,FAIRVIEW COVE IMPEX,NS,BRAMPTON INTER TERM,ON,Deferred horse for PMU sales,1,1101.2,27,24.49,1772.16,0.55,3.35
2024-08-14,FAIRVIEW COVE IMPEX,NS,BRAMPTON INTER TERM,ON,Rutabagas,1,1101.2,21,19.05,1772.16,0.43,2.61
2024-08-14,FAIRVIEW COVE IMPEX,NS,BRAMPTON INTER TERM,ON,Turkeys (non-supply managed),1,1101.2,24,21.77,1772.16,0.49,2.98
2024-08-23,FAIRVIEW COVE IMPEX,NS,MONTREAL TASCH YARD,PQ,Corn,1,764.1,23,20.87,1229.67,0.33,1.98
2024-08-06,ROBERTS BANK,BC,SASKATOON INTER TER,SK,Prepared feed and protein supplements (itemized),1,1089.9,24,21.77,1753.98,0.49,2.95
2024-09-23,SASKATOON INTER TER,SK,FAIRVIEW COVE IMPEX,NS,Partridge,1,2744.5,27,24.49,4416.72,1.38,8.35
2024-10-04,WINNIPEG SYMING YAR,MB,FAIRVIEW COVE IMPEX,NS,Turkeys,1,2270.5,8,7.26,3653.92,0.34,2.05
2024-08-09,ROBERTS BANK,BC,WINNIPEG SYMING YAR,MB,Sage,1,1566.3,2,1.81,2520.65,0.06,0.35
2024-08-12,MALPORT,ON,ROBERTS BANK,BC,Elk,1,2758.5,23,20.87,4439.25,1.18,7.15
2024-08-20,FAIRVIEW COVE IMPEX,NS,BRAMPTON INTER TERM,ON,Khorasan wheat/Kamut,1,1101.2,26,23.59,1772.16,0.53,3.23
2024-08-08,CALGARY LOG PARK,AB,ROBERTS BANK,BC,Broccoli,1,988.7,27,24.49,1591.11,0.5,3.01
2024-09-20,BRAMPTON INTER TERM,ON,FAIRVIEW COVE IMPEX,NS,Kenaf,1,1101.2,22,19.96,1772.16,0.45,2.73
2024-08-06,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Grapefruit,1,2757.8,23,20.87,4438.13,1.18,7.15
2024-09-05,BRAMPTON INTER TERM,ON,FAIRVIEW COVE IMPEX,NS,Deferred horse for PMU sales,1,1101.2,4,3.63,1772.16,0.08,0.5
2024-08-16,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Monarda,1,2757.8,18,16.33,4438.13,0.92,5.6
2024-08-27,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Other feed charges (itemized),1,3073.8,6,5.44,4946.67,0.34,2.08
2024-08-06,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Lettuce,1,3073.8,15,13.61,4946.67,0.86,5.2
2024-08-06,ROBERTS BANK,BC,MALPORT,ON,Parsley,1,2765.7,25,22.68,4450.84,1.29,7.79
2024-09-06,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Artichokes,1,3073.8,28,25.4,4946.67,1.6,9.7
2024-08-20,FAIRVIEW COVE IMPEX,NS,MONTREAL TASCH YARD,PQ,Pepper,1,764.1,20,18.14,1229.67,0.28,1.72
2024-08-27,ROBERTS BANK,BC,MALPORT,ON,"Cherries (sweet, sour)",1,2765.7,10,9.07,4450.84,0.52,3.12
2024-08-16,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Triticale,1,2757.8,12,10.89,4438.13,0.62,3.73
2024-09-16,BRAMPTON INTER TERM,ON,FAIRVIEW COVE IMPEX,NS,Chives,1,1101.2,19,17.24,1772.16,0.39,2.36
2024-08-21,BRAMPTON INTER TERM,ON,FAIRVIEW COVE IMPEX,NS,Wheat,1,1101.2,9,8.16,1772.16,0.18,1.12
2024-08-06,ROBERTS BANK,BC,MONTREAL TASCH YARD,PQ,Shallots,1,3073.8,8,7.26,4946.67,0.46,2.77
2024-08-27,ROBERTS BANK,BC,BRAMPTON INTER TERM,ON,Tomatoes,1,2757.8,22,19.96,4438.13,1.13,6.84
